"gene","category","is_traeuble_marker","traeuble_categories"
"ENSG00000000971","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000002933","Macrophages",TRUE,"Macrophage; Mast cell; Monocyte"
"ENSG00000003436","Unknown",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000004776","SMCs",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000004799","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Macrophage; Monocyte; Smooth Muscle Cell"
"ENSG00000006016","Fibroblasts",TRUE,"Fibroblast; Fibromyocyte"
"ENSG00000006042","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000008394","Fibroblasts",TRUE,"Dendritic cell; Fibroblast; Macrophage; Monocyte"
"ENSG00000008517","Fibroblasts",TRUE,"T cell"
"ENSG00000010278","ECs",TRUE,"EC; Fibroblast; Fibromyocyte; Macrophage; Mast cell; Smooth Muscle Cell"
"ENSG00000011422","Macrophages",TRUE,"Dendritic cell; Macrophage; Mast cell; Monocyte; Neutrophil"
"ENSG00000011465","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000011600","Macrophages",TRUE,"Dendritic cell; Macrophage; Mast cell; Monocyte; Neutrophil; NK cell"
"ENSG00000017427","Fibroblasts",TRUE,"Fibroblast; Macrophage; Plasma cell"
"ENSG00000019582","Macrophages",TRUE,"B cell; Dendritic cell; EC; Macrophage; Monocyte; Plasma cell"
"ENSG00000022267","ECs",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000023902","Macrophages",TRUE,"Dendritic cell; Macrophage; Monocyte"
"ENSG00000024422","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000026297","Macrophages",TRUE,"B cell; Dendritic cell; Macrophage; Mast cell; Monocyte; Plasma cell"
"ENSG00000026508","Macrophages",TRUE,"Mast cell; Monocyte; T cell"
"ENSG00000028137","Macrophages",TRUE,"Macrophage; Monocyte; Neutrophil"
"ENSG00000030582","Macrophages",TRUE,"Dendritic cell; EC; Macrophage; Monocyte; Plasma cell"
"ENSG00000035862","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Macrophage; Monocyte; Smooth Muscle Cell"
"ENSG00000038427","Fibroblasts",TRUE,"Fibroblast; Fibromyocyte; Monocyte; Smooth Muscle Cell"
"ENSG00000041982","ECs",TRUE,"Fibroblast; Fibromyocyte"
"ENSG00000047457","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000049323","ECs",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000051523","Macrophages",TRUE,"B cell; Dendritic cell; Macrophage; Monocyte; NK cell; Plasma cell"
"ENSG00000064205","Fibroblasts",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000064989","Immune",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000065054","Immune",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000065534","ECs",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000066336","Macrophages",TRUE,"Dendritic cell; Macrophage; Monocyte; Neutrophil"
"ENSG00000068001","Immune",TRUE,"EC; Fibroblast"
"ENSG00000068305","Macrophages",TRUE,"Dendritic cell; EC; Fibromyocyte; Macrophage; Monocyte; Smooth Muscle Cell"
"ENSG00000072110","ECs",TRUE,"EC; Fibroblast; Fibromyocyte; Neutrophil; Smooth Muscle Cell"
"ENSG00000074181","SMCs",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000074416","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Macrophage; Smooth Muscle Cell"
"ENSG00000076706","SMCs",TRUE,"EC; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000077942","Fibroblasts",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000077943","ECs",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000078596","Fibroblasts",TRUE,"EC; T cell"
"ENSG00000079308","ECs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000081041","Macrophages",TRUE,"Dendritic cell; EC; Macrophage; Monocyte; Neutrophil"
"ENSG00000081237","Macrophages",TRUE,"NK cell; T cell"
"ENSG00000082074","Macrophages",FALSE,""
"ENSG00000082781","ECs",TRUE,"Fibroblast; Fibromyocyte; Macrophage; Smooth Muscle Cell"
"ENSG00000084234","Macrophages",TRUE,"EC; Fibroblast; Fibromyocyte; Macrophage; Monocyte; Smooth Muscle Cell"
"ENSG00000085871","Immune",TRUE,"Dendritic cell; EC; Fibromyocyte; Macrophage; Monocyte; Smooth Muscle Cell"
"ENSG00000087245","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000090006","Unknown",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000090104","Macrophages",TRUE,"Dendritic cell; Macrophage; Mast cell; Plasma cell; T cell"
"ENSG00000090382","Macrophages",TRUE,"Dendritic cell; Macrophage; Monocyte"
"ENSG00000091136","Unknown",TRUE,"EC; Fibroblast; Fibromyocyte"
"ENSG00000091986","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000094963","Fibroblasts",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000099260","Immune",TRUE,"EC; Fibroblast"
"ENSG00000099860","SMCs",TRUE,"Dendritic cell; Macrophage; Mast cell; Monocyte; Plasma cell"
"ENSG00000099998","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000100097","ECs",TRUE,"Dendritic cell; Fibroblast; Fibromyocyte; Macrophage; Monocyte; Plasma cell; Smooth Muscle Cell"
"ENSG00000100219","SMCs",TRUE,"Fibroblast; Monocyte; Plasma cell"
"ENSG00000100234","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Mast cell; Smooth Muscle Cell"
"ENSG00000100292","Macrophages",TRUE,"Dendritic cell; Macrophage; Monocyte"
"ENSG00000100644","Macrophages",TRUE,"Dendritic cell; Macrophage; Mast cell; Monocyte; Neutrophil"
"ENSG00000101000","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Mast cell"
"ENSG00000101160","Macrophages",TRUE,"Dendritic cell; Fibroblast; Fibromyocyte; Macrophage; Monocyte; Plasma cell"
"ENSG00000101335","ECs",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000102024","ECs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000102265","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Mast cell; Monocyte; Smooth Muscle Cell"
"ENSG00000102760","SMCs",TRUE,"T cell"
"ENSG00000102786","SMCs",TRUE,"Mast cell"
"ENSG00000102802","Fibroblasts",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000102804","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Mast cell; Smooth Muscle Cell"
"ENSG00000102879","Macrophages",TRUE,"B cell; Dendritic cell; NK cell; T cell"
"ENSG00000103196","Unknown",TRUE,"Fibroblast; Monocyte"
"ENSG00000103490","Macrophages",TRUE,"Dendritic cell; Macrophage; Mast cell; Monocyte"
"ENSG00000103811","Macrophages",TRUE,"B cell; Dendritic cell; Macrophage; Monocyte; Plasma cell"
"ENSG00000104368","Immune",TRUE,"EC; Fibroblast; Fibromyocyte; Mast cell"
"ENSG00000104419","Immune",TRUE,"EC; Fibroblast"
"ENSG00000104870","Macrophages",TRUE,"Dendritic cell; EC; Fibroblast; Macrophage; Monocyte"
"ENSG00000104894","Macrophages",TRUE,"B cell; Mast cell; T cell"
"ENSG00000105329","Macrophages",FALSE,""
"ENSG00000105655","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000105664","Fibroblasts",TRUE,"Fibroblast"
"ENSG00000105974","SMCs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000106066","Macrophages",TRUE,"Dendritic cell; Macrophage; Monocyte"
"ENSG00000106211","ECs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000106333","Fibroblasts",TRUE,"Fibroblast; Fibromyocyte; Smooth Muscle Cell"
"ENSG00000106366","ECs",TRUE,"EC; Fibroblast; Fibromyocyte; Smooth Muscle Cell"
