"held_out_donor","model","cell_type","gene","coefficient"
"patient1","LASSO","fibroblast","ENSG00000011465",0.560719861040296
"patient1","LASSO","fibroblast","ENSG00000196126",-0.00722942552548803
"patient1","LASSO","fibroblast","ENSG00000196616",0.117222528631835
"patient1","LASSO","fibroblast","ENSG00000120885",0.169198345771603
"patient1","LASSO","fibroblast","ENSG00000077942",0.259599522759899
"patient1","LASSO","fibroblast","ENSG00000109610",0.00359532348279328
"patient1","LASSO","fibroblast","ENSG00000166482",0.0135184231366457
"patient1","LASSO","fibroblast","ENSG00000188783",0.120123667750538
"patient1","LASSO","fibroblast","ENSG00000139329",0.00242711588620333
"patient1","LASSO","fibroblast","ENSG00000130203",-0.194645542751129
"patient1","LASSO","fibroblast","ENSG00000038427",0.00137073209538427
"patient1","LASSO","fibroblast","ENSG00000132386",0.147634284544241
"patient1","LASSO","fibroblast","ENSG00000064205",0.0630007822317946
"patient1","LASSO","fibroblast","ENSG00000125968",-0.0408434142616593
"patient1","LASSO","fibroblast","ENSG00000170345",-0.00336760790650801
"patient1","LASSO","fibroblast","ENSG00000122862",-0.0887824286292098
"patient1","LASSO","fibroblast","ENSG00000130176",-0.136503185496571
"patient1","LASSO","fibroblast","ENSG00000091986",0.0126225269672413
"patient1","LASSO","fibroblast","ENSG00000076706",-0.214457738979917
"patient1","LASSO","fibroblast","ENSG00000187193",0.104882091989136
"patient1","LASSO","fibroblast","ENSG00000165949",-0.0753716894342872
"patient1","LASSO","fibroblast","ENSG00000169908",-0.0510528064234196
"patient1","LASSO","fibroblast","ENSG00000077943",-0.00199519597266663
"patient1","LASSO","fibroblast","ENSG00000250722",0.114111624641769
"patient1","LASSO","fibroblast","ENSG00000127083",0.0136072316878816
"patient1","LASSO","fibroblast","ENSG00000185633",-0.000720191819600751
"patient1","LASSO","fibroblast","ENSG00000142910",-0.0226888229548069
"patient1","LASSO","fibroblast","ENSG00000119681",0.0893103497747693
"patient1","LASSO","fibroblast","ENSG00000107562",-0.0205942655469214
"patient1","LASSO","fibroblast","ENSG00000211445",0.0929418433976814
"patient1","LASSO","fibroblast","ENSG00000140092",0.050452258682597
"patient1","LASSO","fibroblast","ENSG00000129116",0.00463764123216036
"patient1","LASSO","fibroblast","ENSG00000117318",-0.0123417021940379
"patient1","LASSO","fibroblast","ENSG00000094963",-0.0086361594572212
"patient1","LASSO","fibroblast","ENSG00000143196",0.30909011668128
"patient1","LASSO","fibroblast","ENSG00000213145",-0.0205880006165058
"patient1","LASSO","fibroblast","ENSG00000108821",0.0187811240175719
"patient1","LASSO","fibroblast","ENSG00000159176",-0.000768849754762088
"patient1","LASSO","fibroblast","ENSG00000102024",0.0875231066984253
"patient1","LASSO","fibroblast","ENSG00000003436",0.0214177340611495
"patient1","LASSO","fibroblast","ENSG00000130303",-0.00415679640932572
"patient1","LASSO","fibroblast","ENSG00000078596",0.0820137601828227
"patient1","LASSO","fibroblast","ENSG00000189058",0.0406709626513485
"patient1","LASSO","fibroblast","ENSG00000163710",0.0840700727049414
"patient1","LASSO","fibroblast","ENSG00000261371",-0.0052067327409907
"patient1","LASSO","fibroblast","ENSG00000112562",-0.0432097244586184
"patient1","LASSO","fibroblast","ENSG00000116016",-0.0511748825518634
"patient1","LASSO","fibroblast","ENSG00000176046",0.0297324336213504
"patient1","LASSO","fibroblast","ENSG00000162576",0.00818546042300802
"patient1","LASSO","fibroblast","ENSG00000163017",-0.157499823843865
"patient1","LASSO","fibroblast","ENSG00000189171",0.170081028987087
"patient1","LASSO","fibroblast","ENSG00000123384",0.102596713482273
"patient1","LASSO","fibroblast","ENSG00000090006",0.040599584609872
"patient1","LASSO","fibroblast","ENSG00000249669",-0.0315656164172061
"patient1","LASSO","fibroblast","ENSG00000234745",-0.0518980324718407
"patient1","LASSO","fibroblast","ENSG00000116132",0.0425552109470189
"patient1","LASSO","fibroblast","ENSG00000124212",0.0446688364282003
"patient1","LASSO","fibroblast","ENSG00000134871",-0.0866776658605647
"patient1","LASSO","fibroblast","ENSG00000087245",0.0225111275542129
"patient1","LASSO","fibroblast","ENSG00000182871",-0.0484699975565954
"patient1","LASSO","fibroblast","ENSG00000229807",-0.0820425116672424
"patient1","LASSO","fibroblast","ENSG00000147862",0.028499147074742
"patient1","LASSO","fibroblast","ENSG00000177606",-0.0215033944102762
"patient1","LASSO","fibroblast","ENSG00000175899",-0.0219991061594594
