"held_out_donor","gene","gene_symbol","importance"
"patient1","ENSG00000170323","FABP4",26.3243291375414
"patient1","ENSG00000011465","DCN",24.5708015808467
"patient1","ENSG00000077942","FBLN1",21.8130109733061
"patient1","ENSG00000100234","TIMP3",21.3881267639037
"patient1","ENSG00000140285","FGF7",21.0023914655888
"patient1","ENSG00000078596","ITM2A",20.8263764330772
"patient1","ENSG00000115414","FN1",20.4078667718753
"patient1","ENSG00000115457","IGFBP2",19.8991988187889
"patient1","ENSG00000132386","SERPINF1",19.8339713919175
"patient1","ENSG00000133026","MYH10",19.8312260764276
"patient1","ENSG00000143196","DPT",19.7582355724458
"patient1","ENSG00000038427","VCAN",19.6295377991995
"patient1","ENSG00000261371","PECAM1",19.3936014076949
"patient1","ENSG00000164687","FABP5",19.0513247490744
"patient1","ENSG00000181649","PHLDA2",18.9833320836223
"patient1","ENSG00000111341","MGP",18.4771613796009
"patient1","ENSG00000127954","STEAP4",18.2215636800947
"patient1","ENSG00000120885","CLU",18.1403859553587
"patient1","ENSG00000107796","ACTA2",17.8841073869071
"patient1","ENSG00000136999","CCN3",17.8701138094747
"patient1","ENSG00000172889","EGFL7",17.7543455428222
"patient1","ENSG00000074181","NOTCH3",17.5709644465551
"patient1","ENSG00000203883","SOX18",17.5057593231063
"patient1","ENSG00000144810","COL8A1",17.3605698466893
"patient1","ENSG00000149591","TAGLN",17.1956025482992
"patient1","ENSG00000149564","ESAM",17.1120104005706
"patient1","ENSG00000189129","PLAC9",17.0990692660079
"patient1","ENSG00000131477","RAMP2",16.9915406971261
"patient1","ENSG00000249751","ECSCR",16.8212348087341
"patient1","ENSG00000141753","IGFBP4",16.7859474287084
"patient1","ENSG00000127951","FGL2",16.7253520664121
"patient1","ENSG00000115380","EFEMP1",16.6342873541611
"patient1","ENSG00000176435","CLEC14A",16.6009487246044
"patient1","ENSG00000198467","TPM2",16.6002022775717
"patient1","ENSG00000142910","TINAGL1",16.5759964035932
"patient1","ENSG00000139329","LUM",16.5748738738433
"patient1","ENSG00000184113","CLDN5",16.5554036777764
"patient1","ENSG00000213088","ACKR1",16.4724103335067
"patient1","ENSG00000008394","MGST1",16.4577256708669
