"gene","held_out_donor","model","cell_type","gain","hgnc_symbol"
"ENSG00000000971","patient3","XGBoost","all",0.00017714675462995,"CFH"
"ENSG00000000971","patient2","XGBoost","all",0.000159226486071658,"CFH"
"ENSG00000000971","patient1","XGBoost","all",0.000149609763793968,"CFH"
"ENSG00000000971","patient6","XGBoost","all",0.000146511066454634,"CFH"
"ENSG00000000971","patient5","XGBoost","all",0.000127767618454609,"CFH"
"ENSG00000000971","patient4","XGBoost","all",0.000170692847289207,"CFH"
"ENSG00000002330","patient5","XGBoost","all",7.20099808777835e-06,"BAD"
"ENSG00000002330","patient3","XGBoost","all",1.2206074846084e-05,"BAD"
"ENSG00000002330","patient1","XGBoost","all",2.98347895865701e-06,"BAD"
"ENSG00000002330","patient6","XGBoost","all",1.56989162935011e-05,"BAD"
"ENSG00000002330","patient4","XGBoost","all",1.28099696264595e-05,"BAD"
"ENSG00000002330","patient2","XGBoost","all",1.36475393893664e-05,"BAD"
"ENSG00000002549","patient2","XGBoost","all",2.95707643359892e-05,"LAP3"
"ENSG00000002549","patient6","XGBoost","all",1.79360125943767e-05,"LAP3"
"ENSG00000002549","patient5","XGBoost","all",2.96474833538808e-05,"LAP3"
"ENSG00000002549","patient3","XGBoost","all",1.64716677317748e-05,"LAP3"
"ENSG00000002549","patient4","XGBoost","all",2.53835945764447e-05,"LAP3"
"ENSG00000002549","patient1","XGBoost","all",1.53811786723344e-05,"LAP3"
"ENSG00000002933","patient2","XGBoost","all",0.000126284070119469,"TMEM176A"
"ENSG00000002933","patient5","XGBoost","all",0.000330268895623782,"TMEM176A"
"ENSG00000002933","patient6","XGBoost","all",0.000132934379205216,"TMEM176A"
"ENSG00000002933","patient4","XGBoost","all",0.000134016596451799,"TMEM176A"
"ENSG00000002933","patient1","XGBoost","all",7.75852912691189e-05,"TMEM176A"
"ENSG00000002933","patient3","XGBoost","all",7.96821278145542e-05,"TMEM176A"
"ENSG00000003056","patient3","XGBoost","all",1.43987304463642e-05,"M6PR"
"ENSG00000003056","patient4","XGBoost","all",7.7500079254969e-06,"M6PR"
"ENSG00000003056","patient2","XGBoost","all",4.34021540384046e-06,"M6PR"
"ENSG00000003056","patient6","XGBoost","all",3.71594039381449e-06,"M6PR"
"ENSG00000003056","patient1","XGBoost","all",4.16525569530105e-06,"M6PR"
"ENSG00000003056","patient5","XGBoost","all",1.39120589112353e-05,"M6PR"
"ENSG00000003402","patient3","XGBoost","all",1.74239600269815e-05,"CFLAR"
"ENSG00000003402","patient2","XGBoost","all",1.21914651213743e-05,"CFLAR"
"ENSG00000003402","patient1","XGBoost","all",1.23876093212893e-05,"CFLAR"
"ENSG00000003402","patient5","XGBoost","all",1.47235201208145e-05,"CFLAR"
"ENSG00000003402","patient4","XGBoost","all",1.50033093994611e-05,"CFLAR"
"ENSG00000003402","patient6","XGBoost","all",3.6347638621945e-06,"CFLAR"
"ENSG00000003436","patient6","XGBoost","all",0.000143575387807037,"TFPI"
"ENSG00000003436","patient5","XGBoost","all",0.000211396101858021,"TFPI"
"ENSG00000003436","patient3","XGBoost","all",0.000150145157973258,"TFPI"
"ENSG00000003436","patient4","XGBoost","all",5.99953901786766e-05,"TFPI"
"ENSG00000003436","patient1","XGBoost","all",9.03086301121431e-05,"TFPI"
"ENSG00000003436","patient2","XGBoost","all",0.000651717036720955,"TFPI"
"ENSG00000004059","patient1","XGBoost","all",1.14500117120459e-05,"ARF5"
"ENSG00000004059","patient6","XGBoost","all",1.12797589177715e-05,"ARF5"
"ENSG00000004059","patient2","XGBoost","all",5.67303691303726e-06,"ARF5"
"ENSG00000004059","patient3","XGBoost","all",1.04275480625967e-05,"ARF5"
"ENSG00000004059","patient5","XGBoost","all",9.3907587240302e-06,"ARF5"
"ENSG00000004059","patient4","XGBoost","all",1.43883279446614e-05,"ARF5"
"ENSG00000004399","patient5","XGBoost","all",4.65043419214222e-06,"PLXND1"
"ENSG00000004399","patient2","XGBoost","all",2.39321785087531e-06,"PLXND1"
"ENSG00000004399","patient4","XGBoost","all",1.83349020626852e-05,"PLXND1"
"ENSG00000004399","patient6","XGBoost","all",1.12735907844994e-05,"PLXND1"
"ENSG00000004399","patient3","XGBoost","all",1.84019622736993e-05,"PLXND1"
"ENSG00000004399","patient1","XGBoost","all",6.19768559503557e-06,"PLXND1"
"ENSG00000004534","patient5","XGBoost","all",1.30105174925822e-05,"RBM6"
"ENSG00000004534","patient1","XGBoost","all",2.45519273550271e-06,"RBM6"
"ENSG00000004534","patient2","XGBoost","all",4.55469394833504e-06,"RBM6"
"ENSG00000004534","patient6","XGBoost","all",1.8882054302601e-05,"RBM6"
"ENSG00000004700","patient2","XGBoost","all",5.82356809466413e-06,"RECQL"
"ENSG00000004700","patient5","XGBoost","all",7.38716612646311e-06,"RECQL"
"ENSG00000004700","patient3","XGBoost","all",1.18041372434637e-05,"RECQL"
"ENSG00000004700","patient6","XGBoost","all",8.07065457548853e-06,"RECQL"
"ENSG00000004700","patient1","XGBoost","all",1.16096184251329e-05,"RECQL"
"ENSG00000004700","patient4","XGBoost","all",1.3234305379924e-05,"RECQL"
"ENSG00000004776","patient2","XGBoost","all",9.04044809194352e-05,"HSPB6"
"ENSG00000004776","patient3","XGBoost","all",5.22410314769039e-05,"HSPB6"
"ENSG00000004776","patient4","XGBoost","all",0.000155084503535622,"HSPB6"
"ENSG00000004776","patient5","XGBoost","all",8.64883401721786e-05,"HSPB6"
"ENSG00000004776","patient6","XGBoost","all",0.000153245097503622,"HSPB6"
"ENSG00000004776","patient1","XGBoost","all",6.438765269968e-05,"HSPB6"
"ENSG00000004779","patient5","XGBoost","all",1.11450970674591e-05,"NDUFAB1"
"ENSG00000004779","patient4","XGBoost","all",1.32045072623936e-05,"NDUFAB1"
"ENSG00000004779","patient6","XGBoost","all",8.05688154358349e-06,"NDUFAB1"
"ENSG00000004779","patient3","XGBoost","all",1.07431776948062e-05,"NDUFAB1"
"ENSG00000004779","patient2","XGBoost","all",1.76581646137094e-05,"NDUFAB1"
"ENSG00000004779","patient1","XGBoost","all",1.2008835901147e-05,"NDUFAB1"
"ENSG00000004799","patient3","XGBoost","all",3.23517547286871e-05,"PDK4"
"ENSG00000004799","patient5","XGBoost","all",1.02791836595062e-05,"PDK4"
"ENSG00000004799","patient4","XGBoost","all",1.53425831016363e-05,"PDK4"
"ENSG00000004799","patient6","XGBoost","all",1.46675876244387e-05,"PDK4"
"ENSG00000004799","patient2","XGBoost","all",1.20774670189412e-05,"PDK4"
"ENSG00000004799","patient1","XGBoost","all",1.33766155181769e-05,"PDK4"
"ENSG00000005020","patient1","XGBoost","all",9.4542516620015e-06,"SKAP2"
"ENSG00000005020","patient6","XGBoost","all",8.53790205116784e-06,"SKAP2"
"ENSG00000005020","patient5","XGBoost","all",2.11391272202295e-05,"SKAP2"
"ENSG00000005020","patient3","XGBoost","all",3.08756949955716e-06,"SKAP2"
"ENSG00000005020","patient4","XGBoost","all",8.07896460696797e-06,"SKAP2"
"ENSG00000005020","patient2","XGBoost","all",3.47125891385231e-07,"SKAP2"
"ENSG00000005022","patient5","XGBoost","all",2.31983988045229e-05,"SLC25A5"
"ENSG00000005022","patient1","XGBoost","all",2.4485759663873e-05,"SLC25A5"
"ENSG00000005022","patient4","XGBoost","all",5.7843478189649e-06,"SLC25A5"
"ENSG00000005022","patient2","XGBoost","all",1.32934537960596e-05,"SLC25A5"
"ENSG00000005022","patient6","XGBoost","all",3.04007145814685e-05,"SLC25A5"
"ENSG00000005022","patient3","XGBoost","all",2.82316993455691e-05,"SLC25A5"
"ENSG00000005075","patient1","XGBoost","all",4.95613021240942e-06,"POLR2J"
"ENSG00000005075","patient3","XGBoost","all",1.0064395376796e-05,"POLR2J"
"ENSG00000005075","patient6","XGBoost","all",7.3148100164362e-06,"POLR2J"
"ENSG00000005075","patient5","XGBoost","all",1.01979505861458e-05,"POLR2J"
"ENSG00000005075","patient4","XGBoost","all",3.70201868356233e-06,"POLR2J"
"ENSG00000005075","patient2","XGBoost","all",3.04338846488123e-06,"POLR2J"
"ENSG00000005243","patient5","XGBoost","all",6.96889329634183e-06,"COPZ2"
"ENSG00000005243","patient4","XGBoost","all",8.42085137859491e-06,"COPZ2"
"ENSG00000005243","patient2","XGBoost","all",1.37726313684268e-05,"COPZ2"
"ENSG00000005243","patient3","XGBoost","all",1.72958608687183e-05,"COPZ2"
"ENSG00000005243","patient1","XGBoost","all",2.46420338314474e-05,"COPZ2"
"ENSG00000005243","patient6","XGBoost","all",1.67107732355735e-05,"COPZ2"
"ENSG00000005483","patient1","XGBoost","all",4.85004010714474e-06,"KMT2E"
"ENSG00000005483","patient6","XGBoost","all",9.70862398849524e-06,"KMT2E"
"ENSG00000005483","patient3","XGBoost","all",1.50610992679492e-05,"KMT2E"
"ENSG00000005483","patient2","XGBoost","all",1.22153568919737e-05,"KMT2E"
"ENSG00000005483","patient5","XGBoost","all",5.36350279096028e-06,"KMT2E"
"ENSG00000005483","patient4","XGBoost","all",1.85771475339738e-05,"KMT2E"
"ENSG00000005810","patient3","XGBoost","all",1.67896239431559e-05,"MYCBP2"
"ENSG00000005810","patient1","XGBoost","all",7.40982607955269e-06,"MYCBP2"
"ENSG00000005810","patient2","XGBoost","all",1.97059368642408e-05,"MYCBP2"
"ENSG00000005810","patient5","XGBoost","all",1.56328159578233e-05,"MYCBP2"
"ENSG00000005810","patient4","XGBoost","all",2.09936672303682e-05,"MYCBP2"
"ENSG00000005810","patient6","XGBoost","all",1.45967095708684e-05,"MYCBP2"
"ENSG00000005893","patient3","XGBoost","all",2.06581189963974e-05,"LAMP2"
"ENSG00000005893","patient5","XGBoost","all",1.18459365315926e-05,"LAMP2"
"ENSG00000005893","patient6","XGBoost","all",9.04677446865392e-06,"LAMP2"
"ENSG00000005893","patient1","XGBoost","all",1.16339711866082e-05,"LAMP2"
"ENSG00000005893","patient2","XGBoost","all",1.1393960003067e-05,"LAMP2"
"ENSG00000005893","patient4","XGBoost","all",7.52711236794087e-06,"LAMP2"
"ENSG00000006015","patient5","XGBoost","all",1.68521784823475e-05,"REX1BD"
"ENSG00000006015","patient4","XGBoost","all",2.37833767548902e-06,"REX1BD"
"ENSG00000006015","patient2","XGBoost","all",1.04265156692917e-05,"REX1BD"
"ENSG00000006015","patient3","XGBoost","all",9.72150979752556e-06,"REX1BD"
"ENSG00000006015","patient1","XGBoost","all",1.02589058845219e-05,"REX1BD"
"ENSG00000006015","patient6","XGBoost","all",4.61223659086306e-06,"REX1BD"
"ENSG00000006016","patient5","XGBoost","all",0.00039415201047183,"CRLF1"
"ENSG00000006016","patient6","XGBoost","all",0.000241491112165947,"CRLF1"
"ENSG00000006016","patient2","XGBoost","all",0.000263909427026325,"CRLF1"
"ENSG00000006016","patient3","XGBoost","all",0.000266587625094622,"CRLF1"
"ENSG00000006016","patient4","XGBoost","all",7.41751516706708e-05,"CRLF1"
"ENSG00000006016","patient1","XGBoost","all",0.000194033537477458,"CRLF1"
"ENSG00000006042","patient2","XGBoost","all",9.63836527724547e-05,"TMEM98"
"ENSG00000006042","patient3","XGBoost","all",0.000160692070091685,"TMEM98"
"ENSG00000006042","patient4","XGBoost","all",0.000101586043259878,"TMEM98"
"ENSG00000006042","patient5","XGBoost","all",0.000138425918463941,"TMEM98"
"ENSG00000006042","patient6","XGBoost","all",6.56019211359248e-05,"TMEM98"
"ENSG00000006042","patient1","XGBoost","all",6.29170966384735e-05,"TMEM98"
"ENSG00000006125","patient4","XGBoost","all",4.92330069452162e-06,"AP2B1"
"ENSG00000006125","patient6","XGBoost","all",5.04181449709791e-06,"AP2B1"
"ENSG00000006125","patient5","XGBoost","all",1.30940227980652e-05,"AP2B1"
"ENSG00000006125","patient2","XGBoost","all",4.50896575469788e-06,"AP2B1"
"ENSG00000006125","patient1","XGBoost","all",1.95729155148449e-06,"AP2B1"
"ENSG00000006125","patient3","XGBoost","all",7.44460578420356e-06,"AP2B1"
"ENSG00000006327","patient5","XGBoost","all",4.39344667651628e-05,"TNFRSF12A"
"ENSG00000006327","patient3","XGBoost","all",6.55369694646016e-05,"TNFRSF12A"
"ENSG00000006327","patient4","XGBoost","all",5.97395945530436e-05,"TNFRSF12A"
"ENSG00000006327","patient2","XGBoost","all",3.51964400935942e-05,"TNFRSF12A"
"ENSG00000006327","patient1","XGBoost","all",3.31858407244771e-05,"TNFRSF12A"
"ENSG00000006327","patient6","XGBoost","all",3.53681928303501e-05,"TNFRSF12A"
"ENSG00000006652","patient4","XGBoost","all",1.91154382114309e-05,"IFRD1"
"ENSG00000007080","patient5","XGBoost","all",5.35455219583743e-06,"CCDC124"
"ENSG00000007080","patient6","XGBoost","all",1.31266951834691e-05,"CCDC124"
"ENSG00000007080","patient2","XGBoost","all",6.94826559663392e-06,"CCDC124"
"ENSG00000007080","patient3","XGBoost","all",1.63505369322564e-05,"CCDC124"
"ENSG00000007080","patient1","XGBoost","all",3.32002439861828e-06,"CCDC124"
"ENSG00000007080","patient4","XGBoost","all",4.72402705666491e-06,"CCDC124"
"ENSG00000007168","patient5","XGBoost","all",3.29898267595389e-06,"PAFAH1B1"
"ENSG00000007168","patient4","XGBoost","all",1.16302799894428e-05,"PAFAH1B1"
"ENSG00000007168","patient6","XGBoost","all",8.57209493294694e-06,"PAFAH1B1"
"ENSG00000007168","patient2","XGBoost","all",1.17362464276254e-05,"PAFAH1B1"
"ENSG00000007168","patient1","XGBoost","all",1.64005184390441e-05,"PAFAH1B1"
"ENSG00000007168","patient3","XGBoost","all",4.88273109654615e-06,"PAFAH1B1"
"ENSG00000008282","patient3","XGBoost","all",2.24605556099825e-05,"SYPL1"
"ENSG00000008282","patient6","XGBoost","all",1.13332243709459e-05,"SYPL1"
"ENSG00000008282","patient4","XGBoost","all",1.71850015803789e-05,"SYPL1"
"ENSG00000008282","patient5","XGBoost","all",1.18524943856928e-05,"SYPL1"
"ENSG00000008282","patient1","XGBoost","all",1.57342329873412e-05,"SYPL1"
"ENSG00000008282","patient2","XGBoost","all",1.57848232104652e-05,"SYPL1"
"ENSG00000008294","patient3","XGBoost","all",5.47887471817644e-06,"SPAG9"
"ENSG00000008294","patient6","XGBoost","all",5.42852807358473e-07,"SPAG9"
"ENSG00000008294","patient2","XGBoost","all",1.2846567023412e-05,"SPAG9"
"ENSG00000008294","patient5","XGBoost","all",5.79826635346122e-06,"SPAG9"
"ENSG00000008294","patient1","XGBoost","all",8.58935982792528e-06,"SPAG9"
"ENSG00000008294","patient4","XGBoost","all",1.77415454483125e-05,"SPAG9"
"ENSG00000008394","patient1","XGBoost","all",0.00458454825070997,"MGST1"
"ENSG00000008394","patient6","XGBoost","all",0.00395619679819565,"MGST1"
"ENSG00000008394","patient3","XGBoost","all",0.00363085721587492,"MGST1"
"ENSG00000008394","patient5","XGBoost","all",0.00477238967332023,"MGST1"
"ENSG00000008394","patient2","XGBoost","all",0.0030063890586428,"MGST1"
"ENSG00000008394","patient4","XGBoost","all",0.00289704918983143,"MGST1"
"ENSG00000008441","patient3","XGBoost","all",5.80105169464098e-06,"NFIX"
"ENSG00000008441","patient1","XGBoost","all",1.28089926683567e-05,"NFIX"
"ENSG00000008441","patient6","XGBoost","all",1.59799689361895e-05,"NFIX"
"ENSG00000008441","patient2","XGBoost","all",2.01833051517826e-05,"NFIX"
"ENSG00000008441","patient4","XGBoost","all",3.27903957513587e-05,"NFIX"
"ENSG00000008441","patient5","XGBoost","all",3.7951099903627e-05,"NFIX"
"ENSG00000008517","patient2","XGBoost","all",0.000474493169473937,"IL32"
"ENSG00000008517","patient6","XGBoost","all",0.00078342858191872,"IL32"
"ENSG00000008517","patient5","XGBoost","all",0.00030866125149935,"IL32"
"ENSG00000008517","patient4","XGBoost","all",0.00522666340121472,"IL32"
"ENSG00000008517","patient3","XGBoost","all",5.56881615742205e-05,"IL32"
"ENSG00000008517","patient1","XGBoost","all",0.000292162967625171,"IL32"
"ENSG00000009413","patient5","XGBoost","all",4.61593067285055e-06,"REV3L"
"ENSG00000009413","patient2","XGBoost","all",1.0561852805916e-05,"REV3L"
"ENSG00000009413","patient3","XGBoost","all",8.50101003193978e-06,"REV3L"
"ENSG00000009413","patient1","XGBoost","all",1.02438427788046e-05,"REV3L"
"ENSG00000009413","patient4","XGBoost","all",1.74818045522444e-05,"REV3L"
"ENSG00000009413","patient6","XGBoost","all",6.82248671758957e-06,"REV3L"
"ENSG00000010244","patient3","XGBoost","all",6.9959712266937e-06,"ZNF207"
"ENSG00000010244","patient6","XGBoost","all",1.06160956594796e-05,"ZNF207"
"ENSG00000010244","patient1","XGBoost","all",1.24072032077725e-05,"ZNF207"
"ENSG00000010244","patient5","XGBoost","all",1.47134361220493e-05,"ZNF207"
"ENSG00000010244","patient2","XGBoost","all",1.29086945747062e-05,"ZNF207"
"ENSG00000010244","patient4","XGBoost","all",1.25043472396436e-05,"ZNF207"
"ENSG00000010256","patient6","XGBoost","all",1.19797680720739e-05,"UQCRC1"
"ENSG00000010256","patient4","XGBoost","all",1.36771558752508e-05,"UQCRC1"
"ENSG00000010256","patient5","XGBoost","all",7.89209841784475e-06,"UQCRC1"
"ENSG00000010256","patient1","XGBoost","all",7.60890864565155e-06,"UQCRC1"
"ENSG00000010256","patient2","XGBoost","all",9.53885224333208e-06,"UQCRC1"
"ENSG00000010278","patient3","XGBoost","all",0.00031444137911951,"CD9"
"ENSG00000010278","patient4","XGBoost","all",0.000398205697751676,"CD9"
"ENSG00000010278","patient6","XGBoost","all",0.000224053685602597,"CD9"
"ENSG00000010278","patient1","XGBoost","all",0.00044979915988076,"CD9"
