"gene","held_out_donor","model","cell_type","mean_abs_SHAP","hgnc_symbol"
"ENSG00000000971","patient3","XGBoost_SHAP","all",0.0119491204872246,"CFH"
"ENSG00000000971","patient4","XGBoost_SHAP","all",0.0143979336917255,"CFH"
"ENSG00000000971","patient1","XGBoost_SHAP","all",0.015036645700612,"CFH"
"ENSG00000000971","patient2","XGBoost_SHAP","all",0.011151254523637,"CFH"
"ENSG00000000971","patient5","XGBoost_SHAP","all",0.00755723117072932,"CFH"
"ENSG00000000971","patient6","XGBoost_SHAP","all",0.0061160483432129,"CFH"
"ENSG00000002330","patient3","XGBoost_SHAP","all",0.00334920248542035,"BAD"
"ENSG00000002330","patient4","XGBoost_SHAP","all",0.00312542992728291,"BAD"
"ENSG00000002330","patient1","XGBoost_SHAP","all",0.00172891484168361,"BAD"
"ENSG00000002330","patient6","XGBoost_SHAP","all",0.00675438896071723,"BAD"
"ENSG00000002330","patient2","XGBoost_SHAP","all",0.00295520443135203,"BAD"
"ENSG00000002330","patient5","XGBoost_SHAP","all",0.00579322608488074,"BAD"
"ENSG00000002549","patient2","XGBoost_SHAP","all",0.0185506792439095,"LAP3"
"ENSG00000002549","patient4","XGBoost_SHAP","all",0.0102284377710281,"LAP3"
"ENSG00000002549","patient1","XGBoost_SHAP","all",0.0100215491823746,"LAP3"
"ENSG00000002549","patient5","XGBoost_SHAP","all",0.019599360034074,"LAP3"
"ENSG00000002549","patient6","XGBoost_SHAP","all",0.0174539371105109,"LAP3"
"ENSG00000002549","patient3","XGBoost_SHAP","all",0.00781368456597317,"LAP3"
"ENSG00000002933","patient3","XGBoost_SHAP","all",0.00534894212000425,"TMEM176A"
"ENSG00000002933","patient1","XGBoost_SHAP","all",0.00828606954152434,"TMEM176A"
"ENSG00000002933","patient2","XGBoost_SHAP","all",0.0050902307683108,"TMEM176A"
"ENSG00000002933","patient5","XGBoost_SHAP","all",0.00637815233048804,"TMEM176A"
"ENSG00000002933","patient4","XGBoost_SHAP","all",0.00647283974338316,"TMEM176A"
"ENSG00000002933","patient6","XGBoost_SHAP","all",0.00755791353480967,"TMEM176A"
"ENSG00000003056","patient4","XGBoost_SHAP","all",0.00201170787867523,"M6PR"
"ENSG00000003056","patient6","XGBoost_SHAP","all",0.00309092502580456,"M6PR"
"ENSG00000003056","patient3","XGBoost_SHAP","all",0.0012324669655521,"M6PR"
"ENSG00000003056","patient1","XGBoost_SHAP","all",0.000996613691096476,"M6PR"
"ENSG00000003056","patient2","XGBoost_SHAP","all",0.00167410423468506,"M6PR"
"ENSG00000003056","patient5","XGBoost_SHAP","all",0.0028190777298441,"M6PR"
"ENSG00000003402","patient3","XGBoost_SHAP","all",0.00713951934198938,"CFLAR"
"ENSG00000003402","patient1","XGBoost_SHAP","all",0.00461237611064152,"CFLAR"
"ENSG00000003402","patient5","XGBoost_SHAP","all",0.00551568344635383,"CFLAR"
"ENSG00000003402","patient4","XGBoost_SHAP","all",0.00718359811829091,"CFLAR"
"ENSG00000003402","patient6","XGBoost_SHAP","all",0.00495512814926174,"CFLAR"
"ENSG00000003402","patient2","XGBoost_SHAP","all",0.00428144451501911,"CFLAR"
"ENSG00000003436","patient2","XGBoost_SHAP","all",0.0488326718534872,"TFPI"
"ENSG00000003436","patient6","XGBoost_SHAP","all",0.0267606706883218,"TFPI"
