cell_type_level1,gene,p_adj,log2FC,freq_target,freq_global,freq_diff
B cell,ENSG00000105369,0.0,7.515034198760986,0.9045015135240699,0.05187637969094923,0.8526251338331207
B cell,ENSG00000156738,0.0,6.928843021392822,0.8297041304560101,0.05780036740301641,0.7719037630529937
B cell,ENSG00000104894,0.0,2.954601764678955,0.9460013670539986,0.5685677457200636,0.377433621333935
B cell,ENSG00000153064,0.0,7.904472351074219,0.7243433258470853,0.03997051513607805,0.6843728107110072
B cell,ENSG00000204287,0.0,3.968841075897217,0.9793965433063178,0.4416670525942049,0.5377294907121128
B cell,ENSG00000019582,0.0,3.2698285579681396,0.9939459037203399,0.6465135306194909,0.34743237310084896
B cell,ENSG00000159958,0.0,7.1604461669921875,0.6511082902060346,0.036188425261272944,0.6149198649447616
B cell,ENSG00000211899,0.0,6.221308708190918,0.628649545942779,0.05730252087867982,0.5713470250640992
B cell,ENSG00000211592,0.0,4.702800750732422,0.7888878039253979,0.33036169128884363,0.4585261126365543
B cell,ENSG00000116191,0.0,5.566370487213135,0.5850014647007128,0.05350113462696244,0.5315003300737503
B cell,ENSG00000114942,0.0,1.7593357563018799,0.9802753637340104,0.8825043609811821,0.09777100275282824
B cell,ENSG00000112149,0.0,3.685239315032959,0.716824528854604,0.22535852668303,0.491466002171574
B cell,ENSG00000231389,0.0,2.625312089920044,0.9570354457572503,0.4788897636579756,0.4781456820992747
B cell,ENSG00000196126,0.0,2.6330924034118652,0.9556683917586173,0.49312277126846665,0.46254562049015063
B cell,ENSG00000223865,0.0,2.5241103172302246,0.9441460794844253,0.5143333487704349,0.4298127307139904
B cell,ENSG00000179344,0.0,2.596921920776367,0.8726686846987599,0.3293852946170827,0.5432833900816771
B cell,ENSG00000142534,0.0,1.4799158573150635,0.9839859388731569,0.9230151746708039,0.060970764202353034
B cell,ENSG00000092820,0.0,2.5667057037353516,0.817986524753442,0.4541440899056793,0.36384243484776274
B cell,ENSG00000083845,0.0,1.4761008024215698,0.9871106337271751,0.9288928510782816,0.058217782648893546
B cell,ENSG00000196735,0.0,2.6495838165283203,0.8279464896006249,0.25954012874542676,0.5684063608551981
B cell,ENSG00000051108,0.0,2.268441915512085,0.8317547114539596,0.5539719662236219,0.27778274523033775
B cell,ENSG00000138639,0.0,4.273177623748779,0.5074699736353872,0.08835810988128869,0.4191118637540985
B cell,ENSG00000168028,0.0,1.3631329536437988,0.984083585587345,0.9147293104246746,0.06935427516267034
B cell,ENSG00000122406,0.0,1.214914083480835,0.9900400351528171,0.9381473934454067,0.05189264170741048
B cell,ENSG00000240505,0.0,7.375013828277588,0.4197832242945025,0.02082464996372281,0.3989585743307797
B cell,ENSG00000116251,0.0,1.2000072002410889,0.984083585587345,0.921988607419071,0.06209497816827403
B cell,ENSG00000081189,0.0,2.45786452293396,0.650229469778342,0.2718049059108662,0.37842456386747575
B cell,ENSG00000198755,0.0,1.217550277709961,0.9890635680109364,0.9374643017027123,0.05159926630822409
B cell,ENSG00000119866,0.0,5.065454483032227,0.4267161410018553,0.04161070717362108,0.3851054338282342
B cell,ENSG00000269404,0.0,5.443702220916748,0.41021384630407187,0.03234458698034857,0.3778692593237233
B cell,ENSG00000237541,0.0,3.195655107498169,0.5326628258959086,0.11022476419827414,0.4224380616976345
B cell,ENSG00000167604,0.0,3.1118288040161133,0.5257299091885558,0.1496125287516016,0.3761173804369542
B cell,ENSG00000247982,0.0,7.1205244064331055,0.38550922761449075,0.021631238518655737,0.363877989095835
B cell,ENSG00000162924,0.0,2.139779567718506,0.7267844937017869,0.41937201870976704,0.30741247499201985
B cell,ENSG00000116731,0.0,2.600112199783325,0.5620544868665169,0.2163934299695889,0.34566105689692805
B cell,ENSG00000084070,0.0,1.86955988407135,0.7538326335318817,0.436731039380046,0.3171015941518357
B cell,ENSG00000128218,0.0,7.592441082000732,0.36685870520456987,0.017501813859429755,0.34935689134514014
B cell,ENSG00000136573,0.0,6.308481216430664,0.3594375549262767,0.021353370691119037,0.3380841842351577
