"rank","hgnc_symbol","ensembl_id","models_all_folds","mean_rank"
1,"DCN","ENSG00000011465","RandomForest, LASSO, ElasticNet, XGBoost_combined",1.95833333333333
2,"PECAM1","ENSG00000261371","RandomForest, LASSO, ElasticNet, XGBoost_combined",5.58333333333333
3,"IGFBP2","ENSG00000115457","RandomForest, LASSO, ElasticNet, XGBoost_combined",12.2083333333333
4,"DPT","ENSG00000143196","RandomForest, LASSO, ElasticNet, XGBoost_combined",13.125
5,"NOTCH3","ENSG00000074181","RandomForest, LASSO, ElasticNet, XGBoost_combined",14.7916666666667
6,"FBLN1","ENSG00000077942","RandomForest, LASSO, ElasticNet, XGBoost_combined",17.625
7,"AIF1","ENSG00000204472","RandomForest, LASSO, ElasticNet, XGBoost_combined",18.3333333333333
8,"TAGLN","ENSG00000149591","RandomForest, LASSO, ElasticNet, XGBoost_combined",19.5416666666667
9,"ADGRL4","ENSG00000162618","RandomForest, LASSO, ElasticNet, XGBoost_combined",20.2083333333333
10,"CLEC14A","ENSG00000176435","RandomForest, LASSO, ElasticNet, XGBoost_combined",22.2083333333333
11,"MGST1","ENSG00000008394","RandomForest, LASSO, ElasticNet, XGBoost_combined",22.9583333333333
12,"ITM2A","ENSG00000078596","RandomForest, LASSO, ElasticNet, XGBoost_combined",23
13,"ECSCR","ENSG00000249751","",25.3
14,"PLAC9","ENSG00000189129","RandomForest, LASSO, ElasticNet, XGBoost_combined",27.7083333333333
15,"VWF","ENSG00000110799","RandomForest, LASSO, ElasticNet, XGBoost_combined",27.9583333333333
16,"CLU","ENSG00000120885","RandomForest, LASSO, ElasticNet, XGBoost_combined",28.2083333333333
17,"FBLN5","ENSG00000140092","RandomForest, LASSO, ElasticNet, XGBoost_combined",30.625
18,"MYL9","ENSG00000101335","RandomForest, XGBoost_combined",32.4166666666667
19,"PLVAP","ENSG00000130300","RandomForest, LASSO, ElasticNet, XGBoost_combined",33.0416666666667
20,"PHLDA2","ENSG00000181649","RandomForest, LASSO, ElasticNet, XGBoost_combined",33.7083333333333
21,"NR2F2","ENSG00000185551","RandomForest, LASSO, ElasticNet, XGBoost_combined",34.0416666666667
22,"EGFL7","ENSG00000172889","RandomForest, LASSO, ElasticNet, XGBoost_combined",34.125
23,"IFI27","ENSG00000165949","RandomForest, LASSO, ElasticNet, XGBoost_combined",35.125
24,"FABP4","ENSG00000170323","RandomForest, LASSO, ElasticNet, XGBoost_combined",37.0833333333333
25,"GIMAP7","ENSG00000179144","RandomForest, LASSO, ElasticNet, XGBoost_combined",39.7083333333333
26,"CRISPLD2","ENSG00000103196","",42
27,"ITGA8","ENSG00000077943","RandomForest, LASSO, ElasticNet, XGBoost_combined",42.2916666666667
28,"APOE","ENSG00000130203","RandomForest, LASSO, ElasticNet, XGBoost_combined",43.6666666666667
29,"SOX18","ENSG00000203883","RandomForest, LASSO, ElasticNet, XGBoost_combined",44.2916666666667
30,"RAMP1","ENSG00000132329","RandomForest, LASSO, ElasticNet, XGBoost_combined",45.5416666666667
31,"TPM2","ENSG00000198467","RandomForest, LASSO, ElasticNet, XGBoost_combined",47.0416666666667
32,"BGN","ENSG00000182492","RandomForest, LASSO, ElasticNet, XGBoost_combined",50.1666666666667
33,"STMN1","ENSG00000117632","RandomForest, LASSO, ElasticNet, XGBoost_combined",54.9583333333333
34,"MCAM","ENSG00000076706","RandomForest, LASSO, ElasticNet, XGBoost_combined",56.7083333333333
35,"ISYNA1","ENSG00000105655","RandomForest, LASSO, ElasticNet, XGBoost_combined",57.875
36,"SERPINF1","ENSG00000132386","RandomForest, LASSO, ElasticNet, XGBoost_combined",59.75
37,"RAMP2","ENSG00000131477","RandomForest, LASSO, ElasticNet, XGBoost_combined",60.9583333333333
38,"FABP5","ENSG00000164687","RandomForest, LASSO, ElasticNet, XGBoost_combined",62.5833333333333
39,"STEAP4","ENSG00000127954","RandomForest, LASSO, ElasticNet, XGBoost_combined",63.6666666666667
40,"A2M","ENSG00000175899","RandomForest, LASSO, ElasticNet, XGBoost_combined",63.7083333333333
41,"SCARA5","ENSG00000168079","",65.25
42,"GJA4","ENSG00000187513","",67.25
43,"IGFBP5","ENSG00000115461","RandomForest, LASSO, ElasticNet, XGBoost_combined",70
44,"FN1","ENSG00000115414","RandomForest, LASSO, ElasticNet, XGBoost_combined",70.2083333333333
45,"LTBP2","ENSG00000119681","RandomForest, LASSO, ElasticNet, XGBoost_combined",74.3333333333333
46,"TIMP3","ENSG00000100234","RandomForest, LASSO, ElasticNet, XGBoost_combined",78.8333333333333
47,"THBS2","ENSG00000186340","RandomForest, LASSO, ElasticNet, XGBoost_combined",79
